1,홍길동,98,74,80,252,84,1
2,유관순,60,78,80,218,72.6666666667,1
3,이순신,83,69,80,232,77.3333333333,1
4,강감찬,97,71,98,266,88.6666666667,1
5,김구,51,79,54,184,61.3333333333,1
6,김유신,55,77,64,196,65.3333333333,1
7,홍길자,98,65,81,244,81.3333333333,1
8,홍길순,73,90,92,255,85,1
9,svanderson8,80,51,100,231,77,1
10,abramah9,70,50,72,192,64,1
11,nolivetoa,68,60,92,220,73.3333333333,1
12,mcawkerb,53,86,88,227,75.6666666667,1
13,abraddonc,62,99,88,249,83,1
14,hgillhespyd,74,73,77,224,74.6666666667,1
15,rsarvere,89,62,53,204,68,1
16,cmeadf,58,73,99,230,76.6666666667,1
17,skelsog,98,78,64,240,80,1
18,cdanath,96,62,89,247,82.3333333333,1
19,lbotwoodi,86,100,79,265,88.3333333333,1
20,cjakubovitsj,75,72,70,217,72.3333333333,1
